Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.4.1.0-83-69b59e5
Validator,HIPBLASLT_VERSION,1201-4d62e135
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.4.0-80e5394d
GemmTunableOp_Half_NT,nt_16384_16384_512,Default,9.90179
GemmTunableOp_float_NT,nt_3_16384_4,Gemm_Rocblas_1140853085,0.010622
GemmTunableOp_Half_TN,tn_1280_231_2048,Gemm_Rocblas_1140850965,0.0566224
GemmTunableOp_Half_TN,tn_640_231_2048,Gemm_Rocblas_1140850947,0.038534
GemmTunableOp_Half_TN,tn_640_385_2048,Gemm_Rocblas_1140850970,0.0625711
GemmTunableOp_Half_TN,tn_640_4096_640,Gemm_Rocblas_1140850886,0.112144
GemmTunableOp_Half_TN,tn_16384_512_16384,Gemm_Rocblas_1140850957,11.8613
GemmTunableOp_Half_TN,tn_1280_924_2048,Gemm_Rocblas_1140850951,0.207073
GemmTunableOp_Half_TN,tn_640_462_2048,Gemm_Rocblas_1140850844,0.0586917
GemmTunableOp_Half_TN,tn_1280_385_2048,Gemm_Rocblas_1140850946,0.10849
GemmTunableOp_Half_TN,tn_1280_2048_1280,Gemm_Rocblas_1140850956,0.264331
GemmTunableOp_Half_TN,tn_1280_154_2048,Gemm_Rocblas_1140850951,0.0423085
GemmTunableOp_Half_TN,tn_640_924_2048,Gemm_Rocblas_1140850875,0.111174
GemmTunableOp_Half_TN,tn_640_154_2048,Gemm_Rocblas_1140850969,0.0276333
GemmTunableOp_Half_TN,tn_640_308_2048,Gemm_Rocblas_1140850967,0.0498129
GemmTunableOp_Half_TN,tn_640_8192_640,Gemm_Rocblas_1140850897,0.19989
GemmTunableOp_Half_TN,tn_1280_308_2048,Gemm_Rocblas_1140850964,0.0718261
GemmTunableOp_Half_TN,tn_1280_462_2048,Gemm_Rocblas_1140850948,0.114467
GemmTunableOp_Half_TN,tn_640_616_2048,Gemm_Rocblas_1140850969,0.0691772
GemmTunableOp_Half_TN,tn_1280_1024_1280,Gemm_Rocblas_1140850947,0.130976
GemmTunableOp_Half_TN,tn_1280_616_2048,Gemm_Rocblas_1140850951,0.152438
GemmAndBiasTunableOp_Half_TN,tn_10240_1024_1280,Gemm_Hipblaslt_TN_6139,1.16875
GemmAndBiasTunableOp_Half_TN,tn_1280_1024_1280,Default,0.190519
GemmAndBiasTunableOp_Half_TN,tn_640_4096_2560,Gemm_Hipblaslt_TN_6139,0.59186
GemmAndBiasTunableOp_Half_TN,tn_1280_1024_5120,Gemm_Hipblaslt_TN_6139,0.691553
GemmAndBiasTunableOp_Half_TN,tn_5120_4096_640,Gemm_Hipblaslt_TN_6139,1.27351
GemmAndBiasTunableOp_Half_TN,tn_10240_2048_1280,Default,2.15556
GemmAndBiasTunableOp_Half_TN,tn_640_8192_2560,Gemm_Hipblaslt_TN_6139,1.23761
GemmAndBiasTunableOp_Half_TN,tn_5120_8192_640,Default,2.49946
GemmAndBiasTunableOp_Half_TN,tn_640_2_1280,Gemm_Hipblaslt_TN_6113,0.0205129
GemmAndBiasTunableOp_Half_TN,tn_1280_1_2816,Gemm_Hipblaslt_TN_6095,0.0376932
GemmAndBiasTunableOp_Half_TN,tn_1280_1_320,Gemm_Hipblaslt_TN_6097,0.0156656
GemmAndBiasTunableOp_Half_TN,tn_320_2_1280,Gemm_Hipblaslt_TN_6091,0.0189272
GemmAndBiasTunableOp_Half_TN,tn_640_8192_640,Gemm_Hipblaslt_TN_6139,0.369142
GemmAndBiasTunableOp_Half_TN,tn_640_1_1280,Gemm_Hipblaslt_TN_6113,0.0210372
GemmAndBiasTunableOp_Half_TN,tn_1280_2_2816,Gemm_Hipblaslt_TN_6113,0.0373001
GemmAndBiasTunableOp_Half_TN,tn_1280_2_1280,Gemm_Hipblaslt_TN_6095,0.0255533
GemmAndBiasTunableOp_Half_TN,tn_640_4096_640,Gemm_Hipblaslt_TN_6139,0.18809
GemmAndBiasTunableOp_Half_TN,tn_1280_2048_5120,Default,1.12834
GemmAndBiasTunableOp_Half_TN,tn_320_1_1280,Gemm_Hipblaslt_TN_6091,0.0180624
GemmAndBiasTunableOp_Half_TN,tn_1280_2_320,Gemm_Hipblaslt_TN_6086,0.0147537
GemmAndBiasTunableOp_Half_TN,tn_1280_2048_1280,Default,0.321333
GemmAndBiasTunableOp_Half_TN,tn_1280_1_1280,Gemm_Hipblaslt_TN_6095,0.0244916
GemmTunableOp_float_TN,tn_1280_5_1280,Gemm_Rocblas_1140857277,0.0442632
GemmTunableOp_float_TN,tn_1280_4_1280,Gemm_Rocblas_1140857277,0.0449993
GemmTunableOp_float_TN,tn_768_5_768,Gemm_Rocblas_1140857352,0.026494
GemmTunableOp_float_TN,tn_768_4_768,Gemm_Rocblas_1140857366,0.0249556
GemmTunableOp_float_TN,tn_768_2_768,Gemm_Rocblas_1140857366,0.024484
GemmTunableOp_float_TN,tn_1280_2_1280,Gemm_Rocblas_1140857277,0.0425141
GemmTunableOp_float_TN,tn_1_1_65536,Gemm_Rocblas_1140857370,0.304173
GemmTunableOp_float_TN,tn_768_3_768,Gemm_Rocblas_1140857352,0.024752
GemmTunableOp_float_TN,tn_1280_3_1280,Gemm_Rocblas_1140857277,0.0459329
GemmTunableOp_float_TN,tn_1280_1_1280,Gemm_Rocblas_1140857277,0.0439981
GemmTunableOp_float_TN,tn_768_1_768,Gemm_Rocblas_1140857366,0.0240981
GemmAndBiasTunableOp_float_TN,tn_768_385_3072,Default,1.4181
GemmAndBiasTunableOp_float_TN,tn_1280_231_5120,Gemm_Hipblaslt_TN_5887,2.3279
GemmAndBiasTunableOp_float_TN,tn_1280_77_1280,Gemm_Hipblaslt_TN_5889,0.242802
GemmAndBiasTunableOp_float_TN,tn_768_231_768,Gemm_Hipblaslt_TN_5887,0.208857
GemmAndBiasTunableOp_float_TN,tn_5120_231_1280,Gemm_Hipblaslt_TN_5887,1.99243
GemmAndBiasTunableOp_float_TN,tn_1280_154_1280,Gemm_Hipblaslt_TN_5887,0.400865
GemmAndBiasTunableOp_float_TN,tn_3072_231_768,Gemm_Hipblaslt_TN_5887,0.690586
GemmAndBiasTunableOp_float_TN,tn_1280_154_5120,Gemm_Hipblaslt_TN_5887,1.58392
GemmAndBiasTunableOp_float_TN,tn_768_231_3072,Gemm_Hipblaslt_TN_5887,0.779154
GemmAndBiasTunableOp_float_TN,tn_768_77_3072,Gemm_Hipblaslt_TN_5887,0.28627
GemmAndBiasTunableOp_float_TN,tn_768_385_768,Default,0.289494
GemmAndBiasTunableOp_float_TN,tn_3072_77_768,Gemm_Hipblaslt_TN_5887,0.277716
GemmAndBiasTunableOp_float_TN,tn_1280_77_5120,Gemm_Hipblaslt_TN_5887,0.812491
GemmAndBiasTunableOp_float_TN,tn_768_77_768,Gemm_Hipblaslt_TN_5887,0.0783046
GemmAndBiasTunableOp_float_TN,tn_1280_231_1280,Gemm_Hipblaslt_TN_5887,0.511583
GemmAndBiasTunableOp_float_TN,tn_5120_154_1280,Gemm_Hipblaslt_TN_5887,1.45455
GemmAndBiasTunableOp_float_TN,tn_768_154_768,Gemm_Hipblaslt_TN_5887,0.141081
GemmAndBiasTunableOp_float_TN,tn_1280_385_5120,Gemm_Hipblaslt_TN_5887,3.59285
GemmAndBiasTunableOp_float_TN,tn_3072_154_768,Gemm_Hipblaslt_TN_5887,0.46919
GemmAndBiasTunableOp_float_TN,tn_768_308_768,Gemm_Hipblaslt_TN_5887,0.270033
GemmAndBiasTunableOp_float_TN,tn_5120_77_1280,Gemm_Hipblaslt_TN_5887,0.789604
GemmAndBiasTunableOp_float_TN,tn_3072_308_768,Default,0.882419
GemmAndBiasTunableOp_float_TN,tn_768_154_3072,Gemm_Hipblaslt_TN_5887,0.511349
GemmAndBiasTunableOp_float_TN,tn_1280_308_1280,Default,0.713509
GemmAndBiasTunableOp_float_TN,tn_5120_308_1280,Default,2.72242
GemmAndBiasTunableOp_float_TN,tn_1280_308_5120,Gemm_Hipblaslt_TN_5887,2.89799
GemmAndBiasTunableOp_float_TN,tn_768_308_3072,Gemm_Hipblaslt_TN_5887,1.01052
GemmAndBiasTunableOp_float_TN,tn_5120_385_1280,Default,3.36362
GemmAndBiasTunableOp_float_TN,tn_1280_385_1280,Default,0.907181
GemmAndBiasTunableOp_float_TN,tn_3072_385_768,Default,1.07876
